l	q	d
0.02	0.01	0
0.02	0.02	0.01
0.0233333	0.0266667	0.0133333
0.035	0.0175	0.025
0.044	0.028	0.022
0.055	0.0316667	0.0416667
0.0542857	0.0414286	0.0374101
0.05875	0.055	0.0365239
0.0666667	0.0644444	0.0302691
0.074	0.071	0.049
0.08	0.0790909	0.06
0.0866667	0.0816667	0.0708333
0.105385	0.0830769	0.0830769
0.113571	0.09	0.0950679
0.127333	0.09	0.0919463
0.140625	0.101875	0.101706
0.149412	0.103529	0.100299
0.162222	0.114444	0.0981282
0.168947	0.131579	0.0939196
0.182	0.1415	0.0890269
0.191905	0.164762	0.106815
0.211818	0.182727	0.113742
0.217391	0.196087	0.116052
0.231667	0.212917	0.131279
0.2408	0.2208	0.122525
0.256154	0.241538	0.122253
0.267407	0.252593	0.120636
0.280714	0.268214	0.117205
0.296207	0.276897	0.118996
0.304333	0.291333	0.12699
0.328065	0.298065	0.120898
0.345313	0.30875	0.120794
0.356364	0.325455	0.12069
0.370882	0.337941	0.112443
0.382857	0.352571	0.113297
0.396667	0.363611	0.112422
0.411622	0.391892	0.197726
0.433158	0.4	0.202831
0.455897	0.418718	0.200373
